Symbol,Name,Last Sale,Net Change,% Change,Market Cap
AAPL,Apple Inc. Common Stock,$125.07,-4.86,-3.74%,"2,168,381,113,800"
MSFT,Microsoft Corporation Common Stock,$239.58,-0.24,-0.10%,"1,785,942,675,840"
GOOG,Alphabet Inc. Class C Capital Stock,$89.70,0.97,1.093%,"1,160,987,100,000"
GOOGL,Alphabet Inc. Class A Common Stock,$89.12,0.89,1.009%,"1,153,480,160,000"
AMZN,"Amazon.com, Inc. Common Stock",$85.82,1.82,2.167%,"873,380,545,324"
NVDA,NVIDIA Corporation Common Stock,$143.15,-2.99,-2.046%,"352,149,000,000"
TSLA,"Tesla, Inc. Common Stock",$108.10,-15.08,-12.242%,"341,353,039,737"
META,"Meta Platforms, Inc. Class A Common Stock",$124.74,4.40,3.656%,"331,583,495,277"
PEP,"PepsiCo, Inc. Common Stock",$179.41,-1.25,-0.692%,"247,174,809,187"
AVGO,Broadcom Inc. Common Stock,$553.48,-5.65,-1.01%,"231,291,620,767"
GEN,Gen Digital Inc. Common Stock,$21.62,0.19,0.887%,"225,318,410,036"
ASML,ASML Holding N.V. New York Registry Shares,$549.57,3.17,0.58%,"221,551,813,137"
AZN,AstraZeneca PLC American Depositary Shares,$69.33,1.53,2.257%,"214,857,581,737"
COST,Costco Wholesale Corporation Common Stock,$453.28,-3.22,-0.705%,"201,133,497,438"
CSCO,"Cisco Systems, Inc. Common Stock (DE)",$47.94,0.30,0.63%,"196,942,460,840"
TMUS,"T-Mobile US, Inc. Common Stock",$139.04,-0.96,-0.686%,"172,987,190,791"
ADBE,Adobe Inc. Common Stock,$336.92,0.39,0.116%,"156,634,108,000"
CMCSA,Comcast Corporation Class A Common Stock,$35.57,0.87,2.507%,"153,783,647,246"
TXN,Texas Instruments Incorporated Common Stock,$163.21,-2.01,-1.217%,"148,124,779,116"
HON,Honeywell International Inc. Common Stock,$214.30,UNCH,--,"144,078,654,318"
AMGN,Amgen Inc. Common Stock,$261.65,-0.99,-0.377%,"139,610,999,250"
NFLX,"Netflix, Inc. Common Stock",$294.95,0.07,0.024%,"131,258,794,705"
SNY,Sanofi ADS,$49.00,0.57,1.177%,"122,898,077,960"
QCOM,QUALCOMM Incorporated Common Stock,$107.20,-2.74,-2.492%,"120,171,200,000"
SBUX,Starbucks Corporation Common Stock,$100.83,1.63,1.643%,"115,732,674,000"
INTC,Intel Corporation Common Stock,$26.73,0.30,1.135%,"110,314,710,000"
INTU,Intuit Inc. Common Stock,$391.18,1.96,0.504%,"109,892,378,413"
GILD,"Gilead Sciences, Inc. Common Stock",$85.39,-0.46,-0.536%,"107,099,881,925"
PDD,Pinduoduo Inc. American Depositary Shares,$84.53,2.98,3.654%,"106,878,520,601"
AMD,"Advanced Micro Devices, Inc. Common Stock",$64.02,-0.75,-1.158%,"104,183,905,700"
ADP,"Automatic Data Processing, Inc. Common Stock",$237.66,-1.20,-0.502%,"98,587,967,581"
ISRG,"Intuitive Surgical, Inc. Common Stock",$265.63,0.28,0.106%,"93,869,543,329"
MDLZ,"Mondelez International, Inc. Class A Common Stock",$66.25,-0.40,-0.60%,"90,472,226,155"
JD,"JD.com, Inc. American Depositary Shares",$57.64,1.51,2.69%,"90,235,420,000"
PYPL,"PayPal Holdings, Inc. Common Stock",$74.58,3.36,4.718%,"85,023,268,253"
ADI,"Analog Devices, Inc. Common Stock",$162.45,-1.58,-0.963%,"82,735,125,615"
AMAT,"Applied Materials, Inc. Common Stock",$96.73,-0.65,-0.667%,"81,653,635,309"
BKNG,Booking Holdings Inc. Common Stock,"$2,032.21",16.93,0.84%,"78,828,182,187"
