Symbol,Description,Category2,Category3,GICS Sector,Market cap,Dividend yield,Price to TTM earnings,Price to TTM sales,Price to book value,Action
AAPL,Apple Inc,Common stocks,Large cap,Information Technology,"$2,736,117,478,060",0.52%,0,0,0,Analyze
MSFT,Microsoft Corp,Common stocks,Large cap,Information Technology,"$2,114,566,144,682",0.83%,0,0,0,Analyze
GOOG,Alphabet Inc Class C,Common stocks,Large cap,Communication Services,"$1,733,494,811,330",0.00%,0,0,0,Analyze
GOOGL,Alphabet Inc Class A,Common stocks,Large cap,Communication Services,"$1,733,494,811,330",0.00%,0,0,0,Analyze
AMZN,Amazon.Com Inc.,Common stocks,Large cap,Consumer Discretionary,"$1,534,547,529,458",0.00%,0,0,0,Analyze
TSLA,Tesla Inc,Common stocks,Large cap,Consumer Discretionary,"$991,159,195,681",0.00%,0,0,0,Analyze
BRK-B,Berkshire Hathaway Inc. Class B,Common stocks,Large cap,Financials,"$772,602,206,415",0.00%,0,0,0,Analyze
NVDA,Nvidia Corp,Common stocks,Large cap,Information Technology,"$626,358,947,021",0.07%,0,0,0,Analyze
FB,Facebook Inc Class A,Common stocks,Large cap,Communication Services,"$611,155,587,410",0.00%,0,0,0,Analyze
UNH,Unitedhealth Group Inc,Common stocks,Large cap,Health Care,"$502,167,283,212",1.08%,0,0,0,Analyze
JNJ,Johnson & Johnson,Common stocks,Large cap,Health Care,"$473,005,341,624",2.33%,22.75,5.04,6.42,Analyze
V,Visa Inc Class A,Common stocks,Large cap,Information Technology,"$465,925,600,000",0.66%,0,0,0,Analyze
WMT,Walmart Stores Inc,Common stocks,Large cap,Consumer Staples,"$425,041,396,119",1.43%,0,0,0,Analyze
JPM,JP Morgan Chase & Co,Common stocks,Large cap,Financials,"$386,697,378,159",2.94%,8.05,3.18,1.27,Analyze
PG,Procter & Gamble,Common stocks,Large cap,Consumer Staples,"$384,795,902,699",2.17%,0,0,0,Analyze
XOM,Exxon Mobil Corp,Common stocks,Large cap,Energy,"$362,395,511,922",4.01%,0,0,0,Analyze
MA,Mastercard Inc Class A,Common stocks,Large cap,Information Technology,"$335,332,445,539",0.54%,0,0,0,Analyze
CVX,Chevron Corp,Common stocks,Large cap,Energy,"$332,065,670,717",3.17%,0,0,0,Analyze
HD,Home Depot Inc,Common stocks,Large cap,Consumer Discretionary,"$316,509,576,578",2.22%,0,0,0,Analyze
BAC,Bank of America Corp,Common stocks,Large cap,Financials,"$315,900,364,475",2.05%,0,0,0,Analyze
PFE,Pfizer Inc,Common stocks,Large cap,Health Care,"$299,953,301,571",2.92%,0,0,0,Analyze
LLY,Eli Lilly,Common stocks,Large cap,Health Care,"$293,399,102,578",1.14%,51.64,10.36,32.1,Analyze
ABBV,Abbvie Inc,Common stocks,Large cap,Health Care,"$293,026,668,892",3.12%,0,0,0,Analyze
KO,Coca-Cola,Common stocks,Large cap,Consumer Staples,"$279,867,272,035",2.60%,28.72,7.24,12.2,Analyze
COST,Costco Wholesale Corp,Common stocks,Large cap,Consumer Staples,"$257,672,873,234",0.54%,0,0,0,Analyze
PEP,Pepsico Inc,Common stocks,Large cap,Consumer Staples,"$239,613,755,022",2.46%,0,0,0,Analyze
